id,source,target,tweet_id,type
GenXIsNotWokeelonmusk,GenXIsNotWoke,elonmusk,1546848692061233158,quote
GenXIsNotWokelibsoftiktok,GenXIsNotWoke,libsoftiktok,1549193701414559746,quote
GenXIsNotWoketownhallcom,GenXIsNotWoke,townhallcom,1550837524645527554,quote
GenXIsNotWokeAmer1can_Barbie,GenXIsNotWoke,Amer1can_Barbie,1554657898906763264,quote
GenXIsNotWokeBrucetherooste1,GenXIsNotWoke,Brucetherooste1,1554976688701841408,quote
GenXIsNotWokeFreeBeacon,GenXIsNotWoke,FreeBeacon,1554826747316682752,quote
GenXIsNotWokeImMeme0,GenXIsNotWoke,ImMeme0,1554895319149776896,quote
GenXIsNotWokeMrAndyNgo,GenXIsNotWoke,MrAndyNgo,1554658296883253248,quote
GenXIsNotWokeQualityTweets78,GenXIsNotWoke,QualityTweets78,1555548714550415360,quote
GenXIsNotWokeSenJohnKennedy,GenXIsNotWoke,SenJohnKennedy,1556433333101502469,quote
GenXIsNotWokeaTeXan575,GenXIsNotWoke,aTeXan575,1555919675145560069,quote
GenXIsNotWokebennyjohnson,GenXIsNotWoke,bennyjohnson,1555920508553777153,quote
GenXIsNotWokedrefanzor,GenXIsNotWoke,drefanzor,1554527917866160130,quote
GenXIsNotWokejohnhackerla,GenXIsNotWoke,johnhackerla,1556431194035818497,quote
GenXIsNotWokephilipletsou,GenXIsNotWoke,philipletsou,1556274988499587072,quote
DeborahSchoonm31_ML8m,DeborahSchoonm3,1_ML8m,1545562440385060864,retweet
EarthsGhost1_ML8m,EarthsGhost,1_ML8m,1545614273598164992,retweet
dyhyh5v6vz1_ML8m,dyhyh5v6vz,1_ML8m,1545673271915470849,retweet
realArmandKlein1_ML8m,realArmandKlein,1_ML8m,1545702119491108865,retweet
trump4_america1_ML8m,trump4_america,1_ML8m,1545765774362611713,retweet
MAURCIOBOMFIM322DoBrasil,MAURCIOBOMFIM3,22DoBrasil,1545707832552656896,retweet
MAURCIOBOMFIM3JVFCbrasilll,MAURCIOBOMFIM3,JVFCbrasilll,1545707832552656896,quote
retweetbotnft24Limace,retweetbotnft,24Limace,1550051545663815682,retweet
valurank24NewsHD,valurank,24NewsHD,1545676623185321986,quote
valurankCNBC,valurank,CNBC,1553276306078539777,quote
valurankCTVNews,valurank,CTVNews,1546985536677625858,quote
valurankGuardianNigeria,valurank,GuardianNigeria,1553346653800759296,quote
valurankNBCDFW,valurank,NBCDFW,1553153027929939969,quote
valurankmoneycontrolcom,valurank,moneycontrolcom,1545713521291411458,quote
valurankETCanada,valurank,ETCanada,1554136585087614976,quote
MPWeirdoPodcast2Guys2Things,MPWeirdoPodcast,2Guys2Things,1546222172934381576,retweet
gabrieldelaweb2chinos,gabrieldelaweb,2chinos,1549969709327855616,retweet
Alaina276313duyarciahmet,Alaina276,313duyarciahmet,1545788693281226753,retweet
Emin85448057313duyarciahmet,Emin85448057,313duyarciahmet,1546033623035510784,retweet
Furkeboy3313duyarciahmet,Furkeboy3,313duyarciahmet,1545745104413118464,retweet
Hayat_487313duyarciahmet,Hayat_487,313duyarciahmet,1546039773558603776,retweet
kaan_kapan313duyarciahmet,kaan_kapan,313duyarciahmet,1545893899012653057,retweet
meleksipahi6313duyarciahmet,meleksipahi6,313duyarciahmet,1545753105484185605,retweet
tugohafiz313duyarciahmet,tugohafiz,313duyarciahmet,1546411350750101504,retweet
tuna_azot313duyarciahmet,tuna_azot,313duyarciahmet,1546052426947600385,retweet
mousumijanaa3_0Verse,mousumijanaa,3_0Verse,1546220364350763008,retweet
ApeBotENS3web3dev,ApeBotENS,3web3dev,1553774407377723392,retweet
ApeBotENSmbonft,ApeBotENS,mbonft,1552687039941951490,retweet
ApeBotENS7777nft,ApeBotENS,7777nft,1556220558584471552,retweet
DiamondHand1000420HighVoltage1,DiamondHand1000,420HighVoltage1,1547583628187578383,quote
DiamondHand1000ArachnidEth,DiamondHand1000,ArachnidEth,1545765657341530113,quote
DiamondHand1000AyaJadal,DiamondHand1000,AyaJadal,1547585474658570243,quote
DiamondHand1000BOBBYBASSHEAD,DiamondHand1000,BOBBYBASSHEAD,1548314947691548672,quote
DiamondHand1000BigHand83931742,DiamondHand1000,BigHand83931742,1547580846437048320,quote
DiamondHand1000Boby3312,DiamondHand1000,Boby3312,1547586199161675777,quote
DiamondHand1000Buoyant65846298,DiamondHand1000,Buoyant65846298,1547581115673718784,quote
DiamondHand1000Chad18081811,DiamondHand1000,Chad18081811,1547585990318964738,quote
DiamondHand1000CryptoChick06,DiamondHand1000,CryptoChick06,1547581336734470146,quote
DiamondHand1000GolfGod707,DiamondHand1000,GolfGod707,1547583335664259074,quote
DiamondHand1000Gus54975039,DiamondHand1000,Gus54975039,1547656183472828416,quote
DiamondHand1000J_stonks,DiamondHand1000,J_stonks,1550560524122857473,quote
DiamondHand1000Lifeist66512915,DiamondHand1000,Lifeist66512915,1548779548719857664,quote
DiamondHand1000Meliss97984407,DiamondHand1000,Meliss97984407,1547586168073531397,quote
DiamondHand1000MobileExpressi1,DiamondHand1000,MobileExpressi1,1547878023386435592,quote
DiamondHand1000Runguysofficial,DiamondHand1000,Runguysofficial,1547609334544183300,quote
DiamondHand1000SAPEInformer,DiamondHand1000,SAPEInformer,1548258077610127360,quote
DiamondHand1000SAPEOFFICIALETH,DiamondHand1000,SAPEOFFICIALETH,1552272887620452352,quote
DiamondHand1000VoltInuOfficial,DiamondHand1000,VoltInuOfficial,1549372465360543748,quote
DiamondHand1000cryptotinderoni,DiamondHand1000,cryptotinderoni,1547656100970782721,quote
DiamondHand1000gate_io,DiamondHand1000,gate_io,1548776584198381568,quote
DiamondHand1000ianheinischmma,DiamondHand1000,ianheinischmma,1547606341514014720,quote
DiamondHand1000pablo_cro,DiamondHand1000,pablo_cro,1549204757574811656,quote
DiamondHand1000seanSafuApeCMO,DiamondHand1000,seanSafuApeCMO,1547605308012240896,quote
DiamondHand1000swornimages,DiamondHand1000,swornimages,1547585511853678592,quote
CyT_Diputados5diasPY,CyT_Diputados,5diasPY,1549712764163194881,retweet
FabricioBiten17619_7959,FabricioBiten17,619_7959,1550175212590743552,retweet
619_7959fcfpay,619_7959,fcfpay,1545638229772156928,quote
619_7959Coin_cex,619_7959,Coin_cex,1554636475408404480,quote
Hacker_King8262_khushu,Hacker_King82,62_khushu,1550539089853591552,retweet
domainapebot7777nft,domainapebot,7777nft,1556219218089082880,retweet
domainapebot3web3dev,domainapebot,3web3dev,1556219359877599233,retweet
AlexLiteratura17_alerta24,AlexLiteratura1,7_alerta24,1545827926419062787,retweet
mariama387035417_alerta24,mariama38703541,7_alerta24,1545828156669566979,retweet
Ken19500676John90DayManiac,Ken19500676John,90DayManiac,1547311188328972288,retweet
Unkacrypto938433911,Unkacrypto,938433911,1548818845997096960,quote
UnkacryptoMichael54134215,Unkacrypto,Michael54134215,1550115116200312833,quote
UnkacryptoPortaldeCripto,Unkacrypto,PortaldeCripto,1550141060076425216,quote
UnkacryptoSarahLu80717994,Unkacrypto,SarahLu80717994,1547271886014279681,quote
UnkacryptoSerenitynspice,Unkacrypto,Serenitynspice,1549377514270777344,quote
UnkacryptoTelanganaToday,Unkacrypto,TelanganaToday,1547144069213732864,quote
Unkacryptoaegisvancouver,Unkacrypto,aegisvancouver,1549611808956243969,quote
